property_id,metro,city,state,zip,beds,baths,sqft,lot_size,age,closed_price,predicted_fair_price,fair_price_low_95,fair_price_high_95,max_offer_price,review_flag,CBSA,CBSA_NAME,Final_City_Score
367,Lima,Delphos,OH,45833,4,1,2048,11600,105,130000,188046.3059,141034.7294,235057.8823,178643.9906,OK,30620,"Lima, OH",0.597627891
368,Lima,Lima,OH,45805,26,9,12600,11600,105,540000,731588.3607,548691.2705,914485.4508,695008.9426,OK,30620,"Lima, OH",0.597627891
369,Lima,Spencerville,OH,45887,3,2,1814,284882,22,340000,320181.9445,240136.4584,400227.4307,304172.8473,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
370,Lima,Spencerville,OH,45887,3,2,1814,284882,22,340000,322729.9285,242047.4464,403412.4106,306593.4321,OK,47540,,0.597627891
371,Lima,Spencerville,OH,45887,3,2,1814,284882,22,340000,322729.9285,242047.4464,403412.4106,306593.4321,OK,46780,,0.597627891
372,Lima,Spencerville,OH,45887,3,2,1814,284882,22,340000,322729.9285,242047.4464,403412.4106,306593.4321,OK,16380,,0.597627891
373,Lima,Harrod,OH,45850,4,2,20908,20908,26,215000,255695.1019,191771.3264,319618.8774,242910.3468,OK,99999,,0.597627891
374,Lima,Harrod,OH,45850,4,2,20908,20908,26,215000,255695.1019,191771.3264,319618.8774,242910.3468,OK,47540,,0.597627891
375,Lima,Harrod,OH,45850,4,2,20908,20908,26,215000,265968.9892,199476.7419,332461.2364,252670.5397,OK,30620,"Lima, OH",0.597627891
376,Lima,Lima,OH,45801,2,2,1280,11600,21,272000,234595.1684,175946.3763,293243.9605,222865.41,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
377,Lima,Lima,OH,45801,2,2,1280,11600,21,272000,237143.1523,177857.3643,296428.9404,225285.9947,REVIEW_REQUIRED,47540,,0.597627891
378,Lima,Lima,OH,45806,3,2,1730,11600,0,364300,344266.2654,258199.699,430332.8317,327052.9521,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
379,Lima,Lima,OH,45806,3,2,1730,11600,0,364300,346814.2493,260110.687,433517.8117,329473.5369,OK,47540,,0.597627891
380,Lima,Spencerville,OH,45887,2,1,1282,8712,73,92000,118895.7564,89171.8173,148619.6955,112950.9686,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
381,Lima,Spencerville,OH,45887,2,1,1282,8712,73,92000,121443.7403,91082.80526,151804.6754,115371.5533,OK,47540,,0.597627891
382,Lima,Spencerville,OH,45887,2,1,1282,8712,73,92000,121443.7403,91082.80526,151804.6754,115371.5533,OK,46780,,0.597627891
383,Lima,Spencerville,OH,45887,2,1,1282,8712,73,92000,121443.7403,91082.80526,151804.6754,115371.5533,OK,16380,,0.597627891
384,Lima,Lima,OH,45806,2,2,1546,11600,0,326460,306172.0636,229629.0477,382715.0796,290863.4605,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
